title,link,published,category
Названо количество отправленных Деду Морозу писем,https://lenta.ru/news/2022/12/25/pochtaded/,"Sun, 25 Dec 2022 07:16:01 +0300",Россия
Устроившим поджог в российском военкомате оказался экс-депутат,https://lenta.ru/news/2022/12/25/podzheg/,"Sun, 25 Dec 2022 07:03:00 +0300",Силовые структуры
Российская футболистка сравнила зарплаты в женской и мужской командах,https://lenta.ru/news/2022/12/25/petrova/,"Sun, 25 Dec 2022 07:00:31 +0300",Спорт
В ООН предупредили о последствиях запрета на работу женщин в НПО Афганистана,https://lenta.ru/news/2022/12/25/oon/,"Sun, 25 Dec 2022 06:58:00 +0300",Мир
Байден с никелированной миской в руках нарядил елку к Рождеству,https://lenta.ru/news/2022/12/25/miska/,"Sun, 25 Dec 2022 06:54:07 +0300",Мир
В Китае заявили о крепких отношениях с Россией,https://lenta.ru/news/2022/12/25/otnosheniya/,"Sun, 25 Dec 2022 06:48:00 +0300",Мир
Терапевт предупредила о болезнях сердца из-за гриппа,https://lenta.ru/news/2022/12/25/heartorvi/,"Sun, 25 Dec 2022 06:39:00 +0300",Забота о себе
Названо слабое место Европы перед Россией в новой торговой войне,https://lenta.ru/news/2022/12/25/epizod/,"Sun, 25 Dec 2022 06:39:00 +0300",Экономика
В США рассказали о потребности России в атомном авианосце,https://lenta.ru/news/2022/12/25/ncg9m/,"Sun, 25 Dec 2022 06:30:11 +0300",Наука и техника
Пожар в российском ночном клубе попал на видео,https://lenta.ru/news/2022/12/25/vladivostok/,"Sun, 25 Dec 2022 06:28:30 +0300",Россия
Диетолог рассказала о важных витаминах зимой,https://lenta.ru/news/2022/12/25/vitaminy/,"Sun, 25 Dec 2022 06:17:27 +0300",Забота о себе
Умер экс-глава МИД Италии Франко Фраттини,https://lenta.ru/news/2022/12/25/fratinni/,"Sun, 25 Dec 2022 06:12:06 +0300",Мир
Британцы захотели отобрать свои дома у украинских беженцев на Рождество,https://lenta.ru/news/2022/12/25/home_sweet_home/,"Sun, 25 Dec 2022 06:04:22 +0300",Мир
"ОАЭ передадут Украине 2,5 тысячи электрогенераторов",https://lenta.ru/news/2022/12/25/oae/,"Sun, 25 Dec 2022 05:32:56 +0300",Мир
Российские разведчики нанесли удар по ВСУ на Купянском направлении,https://lenta.ru/news/2022/12/25/kupyansk/,"Sun, 25 Dec 2022 05:25:00 +0300",Россия
Режиссер «Русалочки» прокомментировал выбор темнокожей актрисы на главную роль,https://lenta.ru/news/2022/12/25/role/,"Sun, 25 Dec 2022 05:21:29 +0300",Культура
В США признали ошибки в течение 30 лет по всем ключевым глобальным вопросам,https://lenta.ru/news/2022/12/25/mistakes/,"Sun, 25 Dec 2022 05:16:27 +0300",Интернет и СМИ
В США из-за снежной бури погибли 23 человека,https://lenta.ru/news/2022/12/25/usa/,"Sun, 25 Dec 2022 05:02:00 +0300",Мир
В Киеве возмутились сравнением Зеленского с управляющим стриптиз-клуба,https://lenta.ru/news/2022/12/25/kievotvet/,"Sun, 25 Dec 2022 04:57:00 +0300",Бывший СССР
